,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
308,NETWORK MERCHANTS LIMITED,256.88,D,87,"1,815",222,242
309,ADAM ASSET MANAGEMENT LIMITED,74.26,D,12,-793,22,783
310,CORVIA LIMITED,124.37,D,55,"1,792","6,324","8,664"
311,WOLFF ONSITE LIMITED,4.04,D,3,592,595,499
312,TULLOW OIL PLC,223.8,A+,"1,031","204,154","3,852,978","6,435,737"
313,MEDIAFORCE (HOLDINGS) LIMITED,1.8,D,353,"5,210","1,743","7,951"
314,CHEWBAY LIMITED,33.24,D,85,"3,260","1,070","1,070"
315,VEOLIA ENVIRONNEMENT DEVELOPMENT CENTRE LIMITED,55.59,C+,38,-306,327,327
316,SKENE ENTERPRISES (ABERDEEN) LIMITED,0.08,D,110,913,"2,563","2,563"
317,C.H. BAILEY GROUP LIMITED,39.31,D,129,"1,829","14,689","16,299"
318,XMOS LIMITED,17.88,A+,60,"-8,961",440,"2,215"
319,THANET WASTE SERVICES LIMITED,117.64,D,113,957,"4,777","5,455"
320,PARAFIX TAPES AND CONVERSIONS LIMITED,45.69,D,89,522,"3,340","3,340"
321,UNIVERSAL GROUP HOLDINGS LIMITED,59.07,A+,85,984,"1,017","1,017"
322,VG SYSTEMS LIMITED,29.84,D,42,"2,141",265,265
323,QUARTZELEC LTD,4.87,D,566,"1,692","4,696","5,271"
324,COGNIZANT WORLDWIDE LIMITED,230.39,D,"5,303","561,462","21,211","302,014"
325,GEMCO EQUIPMENT LIMITED,471.06,D,98,14,213,327
326,EMPIRIC SOLUTIONS LIMITED,214.34,D,95,264,73,73
327,DIXONS OF WESTERHOPE LIMITED,12.89,D,79,"1,212","9,014","9,046"
328,CHASE DISTILLERY LIMITED,11.92,D,48,"1,168",982,982
329,KMG INDEPENDENT LIMITED,1.56,D,17,634,105,105
330,GRAHAM ENGINEERING LIMITED,7.12,A+,180,"2,682","6,880","6,880"
