,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
7162,IPSUM SURVEY SOLUTIONS LIMITED,1.47,D,41,919,433,433
7163,POETON HOLDINGS LIMITED,84.45,D,257,"1,143","5,737","6,627"
7164,A H WORTH AND COMPANY LIMITED,11.35,A+,383,"3,392","13,514","22,341"
7165,HB REAVIS CONSTRUCTION UK LTD,36.21,D,22,176,"1,375","1,375"
7166,HAMMONDS FURNITURE LIMITED,13.89,D,841,"-1,223","6,804","6,929"
7167,POINTER LIMITED,87.78,D,157,742,132,"1,433"
7168,ORLIGHT LIMITED,16.8,D,108,"1,711",814,834
7169,HOTEL BALOR TEORANTA,70.87,A+,87,180,"7,237","7,240"
7170,INDUSTRIAL WATER JETTING SYSTEMS LIMITED,442.39,D,437,650,"21,731","21,731"
7171,DBE SERVICES LIMITED,4.23,A+,6,236,11,11
7172,CHILTERN INTERNATIONAL LIMITED,67.51,D,425,"13,698",730,"13,761"
7173,PROPERTYSERVE HOLDINGS LTD,2.32,B+,50,187,80,208
7174,EXTRAMAN LIMITED,0.55,D,"1,419",335,694,694
7175,TPL LABELS LIMITED,54.21,D,36,123,"1,813","1,813"
7176,THE ALCHEMIST BAR & RESTAURANT LIMITED,174.04,D,607,"1,563","14,931","15,423"
7177,EUROPEAN GLASS GROUP LIMITED,28.96,B+,170,186,"35,907","35,907"
7178,PROSPERITY CAPITAL MANAGEMENT (UK) LIMITED,0.04,D,11,"6,084",25,25
7179,MATCHROOM BOXING LIMITED,135.07,D,12,"5,307",2,2
7180,JAMES TOLLAND & COMPANY LIMITED,4.16,D,6,706,87,187
7181,JAMES' STREET STEEL MANUFACTURING LIMITED,17.43,D,19,245,"5,291","5,291"
7182,GRAFITEC PUBLIC LIMITED COMPANY,26.39,D,18,231,79,79
7183,MASON STREET FURNITURE LTD,32.8,D,60,428,562,562
7184,ANTHONY BEST DYNAMICS LIMITED,46.12,D,128,"8,430","13,650","14,127"
7185,STEEL FIXING SERVICES LIMITED,234.62,B+,2,"-2,405",1,"5,182"
7186,WARD & BURKE GROUP LIMITED,57.83,B+,601,"6,439","29,967","36,938"
7187,KEITH MICHAELS PLC,3.86,B+,25,960,6,6
7188,TRINITY LEISURE HOLDINGS LIMITED,270.26,D,102,"4,985","46,107","46,107"
7189,ACE SUPPLY COMPANY LIMITED(THE),0.42,D,49,907,263,263
7190,THE ALLIANCE GROUP OF COMPANIES LIMITED,1.39,D,53,548,612,"2,013"
7191,T S S GROUP PLC,89.93,D,103,"1,013","10,249","10,635"
7192,TYLER PACKAGING HOLDINGS LIMITED,24.29,D,16,"2,512",85,"16,510"
7193,KEITH MONTGOMERY ASSOCIATES LIMITED,2.82,D,10,353,3,3
7194,MARIA MALLABAND PROPERTIES (4) LIMITED,42.37,D,47,2,55,586
7195,AZULE LIMITED,465.48,D,19,777,140,183
7196,ALS LABORATORIES (UK) LIMITED,16.26,D,680,"4,822","14,055","14,262"
7197,MATCH.COM INTERNATIONAL LIMITED,298.66,D,10,"-46,805",124,124
7198,PERT BRUCE CONSTRUCTION LIMITED,30.51,D,91,353,881,"1,371"
7199,MARGETTS HOLDINGS LIMITED,34.39,B+,48,"1,297",996,"1,421"
7200,STANNAH LIFTS LIMITED,3.68,D,117,-994,366,369
7201,ID MOBILE LIMITED,759.59,D,54,"33,204","6,143","55,503"
7202,SIVYER LOGISTICS LIMITED,41.18,D,61,992,"4,050","4,638"
7203,M. BARNWELL SERVICES LIMITED,1.27,D,92,696,"1,096","1,132"
7204,J SAI COUNTRY HOME LIMITED,10.48,D,159,"1,377","6,533","6,533"
7205,"S.A.BRAIN & COMPANY,LIMITED",130.66,B+,"2,460","-1,905","163,806","170,867"
7206,JOHN CRANE (IRELAND) LIMITED,2.07,D,90,"3,447","1,173","1,210"
7207,BACKBASE UK LIMITED,21.97,D,43,609,179,179
7208,PORTABLE MOVEMENTS LIMITED,39.91,D,20,610,590,590
7209,LONDON & REGIONAL (GREEN PARK HOTEL) LIMITED,187.21,D,37,268,"56,450","56,450"
7210,HOGANAS (GREAT BRITAIN) LIMITED,82.43,C,30,"3,042","3,299","3,299"
7211,INPROVA LTD,34.38,D,55,463,99,564
7212,TNT EXPRESS ICS LIMITED,0.14,D,323,"10,938","5,091","51,389"
7213,SYKES SEAFOOD HOLDINGS LIMITED,329.23,D,107,"3,468","6,253","6,790"
7214,TREVELLA CARAVAN COMPANY LIMITED,9.05,D,42,680,"2,773","2,773"
7215,BIZERBA (U.K.) LIMITED,736.86,D,103,"-1,388",202,202
7216,GU CUTTING AND GRINDING SERVICES LIMITED,0.71,D,21,99,"1,370","1,370"
7217,BRYN MELYN CARE LIMITED,122.77,D,317,54,"1,682","1,682"
7218,D C NORRIS & COMPANY LTD.,1.9,D,155,"2,113","3,694","4,690"
7219,NETCALL TECHNOLOGY LIMITED,22.53,D,170,"1,222",419,"4,297"
7220,ROCKFORD FINANCIAL HOLDINGS LIMITED,178.76,D,73,311,"1,166","2,434"
7221,AVON METALS LIMITED,2.24,D,59,444,"1,781","1,787"
7222,FORTUM FINANCE IRELAND DESIGNATED ACTIVITY COMPANY,17.34,D,7,"72,249","47,112","9,149,665"
7223,WILLIAM THOMPSON (YORK) LIMITED,331.34,D,47,-175,"2,049","2,059"
7224,INNTRAVEL LIMITED,0.06,D,73,"2,456",81,211
7225,BECKETT'S FOODS LIMITED,42.13,D,362,"5,107","6,783","10,486"
7226,CAN-PACK UK LIMITED,46.82,D,249,739,"41,667","42,621"
7227,VISTA ENGINEERING LIMITED,20.7,B+,69,"2,409","2,972","6,684"
7228,PROVENANCE PARTNERS LIMITED,6.73,B+,45,"2,498",164,"3,502"
7229,ORCHARD FUNDING GROUP PLC,114.43,D,18,"1,893",59,119
7230,J.A.JEWITT,9.11,B+,68,"1,286","5,925","6,400"
7231,FLIGHT OPCO LIMITED,226.71,D,115,"-1,553","4,579","4,685"
7232,ATA GLOBAL STAFFING SOLUTIONS LIMITED,503.05,D,4,253,14,14
7233,TWELVE CAPITAL (UK) LIMITED,34.97,D,16,609,184,184
7234,FLEXFILM LIMITED,244.25,D,34,-607,335,335
7235,CERTARA UK LIMITED,20.72,D,130,"12,667","1,028","4,108"
7236,JOHNSTON TRACTORS LIMITED,26.47,D,39,461,106,106
7237,WACKER NEUSON LIMITED,154.94,D,61,"1,049","4,845","4,845"
7238,"BROWN-FORMAN BEVERAGES, EUROPE, LTD",0.87,D,77,"34,444",170,"12,133"
7239,SUPERIOR GROUP LIMITED,12.5,D,210,"10,517","31,490","35,611"
7240,CREDEBT EXCHANGE LIMITED,35.2,D,18,416,60,"1,403"
7241,MILEHOUSE FOODS LIMITED,112.4,B+,131,810,"3,970","3,970"
7242,FLAMBEAU EUROPLAST LTD,42.5,D,79,194,"5,229","5,271"
7243,WAIN HOMES LIMITED,40.49,D,261,"37,761","6,210","6,210"
7244,HANSON APPLIED SCIENCES LIMITED,51.61,D,6,"3,391",104,104
7245,RUDRIDGE LIMITED,14.11,D,67,"2,232",208,215
7246,WOODLANDS GROUP HOLDINGS LIMITED,63.47,B+,60,220,"3,344","3,344"
7247,SYNERGY HEALTH (UK) LIMITED,17.94,D,"1,046","4,752","16,601","70,669"
7248,VERISK ANALYTICS LIMITED,7.25,D,46,476,225,"20,890"
7249,MVH LIMITED,3.66,D,147,"7,092","3,487","6,899"
7250,KATMEX LIMITED,2.79,D,134,"1,140","1,685","1,685"
7251,ANGLIAN COUNTRY INNS LIMITED,146.84,A,325,186,"6,277","6,363"
7252,S.E.S. LTD.,636.35,B+,237,827,942,"2,474"
7253,SCOTSMAN HOLDINGS PLC,138.21,D,"1,832","9,864","163,304","166,279"
7254,BERRIES DIRECT FARMING LIMITED,67.13,D,67,-66,"1,234","1,234"
7255,PETS CORNER (UK) LIMITED,238,D,841,"3,065","7,967","8,331"
7256,DANIEL J. EDELMAN LIMITED,19,D,482,"4,665","5,293","14,231"
7257,NASDAQ CORPORATE SOLUTIONS INTERNATIONAL LIMITED,1.58,D,38,"25,508",107,"32,726"
7258,H&H LAND & ESTATES LIMITED,51.68,D,60,-145,210,258
7259,THALES DIS CPL UK LIMITED,348.83,D,126,832,255,"1,604"
7260,. A SPACE STATION LIMITED,22.46,D,43,857,"16,964","16,964"
7261,SHIMA SEIKI EUROPE LIMITED,58.91,D,22,187,"1,709","1,858"
7262,NG LOGISTICS LIMITED,0.53,B+,89,"1,583",236,"1,593"
7263,DARNLEY BIDCO LIMITED,456.08,D,532,562,"33,228","33,228"
7264,JOICE AND HILL POULTRY LTD,155.26,D,59,473,"2,155","4,892"
7265,CEWE LIMITED,3.68,D,63,521,"1,172","1,172"
7266,STRIDE LIMITED,0.07,D,54,535,52,52
7267,BENNETT POTATOES LIMITED,6.04,B+,71,"2,081","3,025","3,025"
7268,CARDTRONICS SERVICES LIMITED,392.28,D,197,"1,579","2,095","4,396"
7269,ARQIVA LIMITED,61.36,D,"2,071","363,500","1,130,100","1,371,600"
7270,B.R.T. SUPPLIES LIMITED,61.67,B+,56,929,731,731
7271,NATURAL BALANCE FOODS LIMITED,23.34,D,62,"3,562",469,724
7272,THE BRIDGE (IT RECRUITMENT) LIMITED,46.2,D,29,"2,497",12,12
7273,DATA BASE FACTORY UK LIMITED,38.27,D,221,187,94,94
7274,TYZACK MACHINE KNIVES LIMITED,115.56,D,51,-369,"1,434","1,434"
7275,WALLS CONSTRUCTION HOLDINGS LIMITED,1.83,D,211,"3,633","6,349","8,528"
7276,BDW TRADING LIMITED,30.23,D,"5,779","830,802","6,220","427,509"
7277,INTERFLOOR LIMITED,29.59,D,309,"10,143","8,857","13,035"
7278,WILLETT AND SON (BRISTOL) LIMITED,404.75,D,7,39,63,516
7279,ELASTICSEARCH LIMITED,4.89,D,64,403,408,726
7280,ENCON INSULATION LIMITED,62.11,D,547,"11,142","1,874","4,462"
7281,BREEZE MOTOR COMPANY LIMITED,273.03,D,206,-489,"3,114","3,114"
7282,ESTEE LAUDER COSMETICS LIMITED,55.64,D,"9,261","53,357","75,214","645,979"
7283,B & P FABRICATIONS (LEICESTER) LIMITED,110.03,D,121,"1,596","2,541","2,541"
7284,QUEST VITAMINS LIMITED,149.45,D,64,274,"3,220","3,240"
7285,POLYMERIC LABELS LIMITED,0.59,D,78,513,239,239
7286,DANNY SULLIVAN & SONS LTD.,2.54,D,"1,243","7,234","1,041","1,041"
7287,GENUS PLC,62.91,A+,"2,787","7,800","76,900","593,800"
7288,LOADLOK ROLAND UK LTD,123.83,C,3,168,1,1
7289,OLIVER VALVES LIMITED,139.2,B+,120,"2,630","2,307","2,657"
7290,GAS STRATEGIES GROUP LIMITED,0,D,26,"1,573",168,168
7291,CONVEYANCING DATA SERVICES LTD,28.07,D,107,697,244,480
7292,MARKLOGIC (UK) LIMITED,6.39,D,152,"1,493",515,515
7293,S.W.& L. HOLDINGS LIMITED,249.53,A+,97,99,228,380
7294,JOHN MARTIN ASSETS LIMITED,57.69,D,2,444,"1,634","6,691"
7295,SOFRIMAR UNLIMITED COMPANY,22.53,D,146,"1,005","6,243","6,244"
7296,EDINBURGH INTERNATIONAL CONFERENCE CENTRE LIMITED,26.74,D,59,760,"6,598","6,598"
7297,VERTEX PHARMACEUTICALS (EUROPE) LIMITED,1.64,D,299,"-195,505","27,460","1,322,357"
7298,HOMES FOR DUNMORE,2.41,U,1,14,"1,296","1,296"
7299,SGS ANALYTICS UNITED KINGDOM LIMITED,707.54,D,150,"1,982","1,770","5,516"
7300,FOREFRONT UTILITIES LIMITED,2.62,D,88,"6,094",619,619
7301,PROAMPAC SECURITY PRODUCTS LIMITED,112.43,D,63,26,"1,071","1,071"
7302,BARNFIELD HUGHES LIMITED,4.39,B+,21,-258,"1,863","2,765"
7303,TRAVCORP UK LIMITED,40.93,D,127,74,411,411
7304,BELLEROPHON LIMITED,19.96,D,447,"3,004","19,219","21,428"
7305,SPRINGMARSH HOMES LIMITED,3.47,D,70,138,326,326
7306,ENERGY AND UTILITIES ALLIANCE (EUA),3.45,U,25,-131,"1,264","2,132"
7307,WILLMOTT DIXON CONSTRUCTION LIMITED,55.72,D,"1,651","35,303","2,426","2,822"
7308,NOBIA HOLDINGS UK LIMITED,49.12,D,"2,280","16,925","44,654","167,443"
7309,CLACTON TOOL HIRE LIMITED,4.06,D,13,375,463,503
7310,CHI PARTNERS HOLDINGS LIMITED,103.66,D,733,"12,581","3,582","12,910"
7311,SWALLOWCOURT HOLDINGS LIMITED,100.22,D,414,657,"17,148","17,148"
7312,EVAC+CHAIR INTERNATIONAL LIMITED,2.18,D,91,"1,608",441,441
7313,BLUE YONDER TECHNOLOGY SOLUTIONS (UK) LIMITED,12.49,D,295,"1,522","6,028","13,308"
7314,TORPEDO FACTORY GROUP LIMITED,138.32,A+,66,-102,"3,130","3,860"
7315,ARRIVA LONDON NORTH LIMITED,103.91,D,"3,704","12,820","144,555","144,555"
7316,THE DONNA KARAN COMPANY STORE (UK) LIMITED,12.12,D,22,"1,238",200,200
7317,SSE AIRTRICITY UTILITY SOLUTIONS LIMITED,26.43,D,86,"1,391",75,75
7318,OLYMPUS ENGINEERING LIMITED,18.4,D,174,"1,068","3,869","3,915"
7319,L&R MEDICAL UK LTD.,7.83,D,115,"4,207","3,439","3,439"
7320,HARRODS LIMITED,15.72,D,"3,924","215,900","1,443,500","1,686,200"
7321,STEPHEN FRIEDMAN FINE ART LIMITED,1.4,B+,19,524,78,78
7322,ZONIN UK LIMITED,401.69,D,17,741,5,5
7323,KAYFOAM WOOLFSON UNLIMITED COMPANY,137,D,305,"5,328","4,933","5,532"
7324,FOTHERGILL POLYCOM LIMITED,42.8,D,54,541,"5,853","5,916"
7325,BLAND GROUP UK HOLDINGS LIMITED,117.43,D,214,"-1,656","8,552","12,762"
7326,DELTEX MEDICAL GROUP PLC,76.22,A+,71,"-1,338",587,"3,270"
7327,SAINT VINCENT HOLDINGS LIMITED,90.39,D,253,"5,528","24,782","72,215"
7328,LANDMARK LIMITED,345.18,D,217,"6,873","45,453","49,819"
7329,UPSTREAM MARKETING PROGRAMS LIMITED,100.22,D,1,-377,38,41
7330,PEAK GEN TOP CO LIMITED,160.73,D,13,"5,487","45,630","45,630"
7331,EZE SOFTWARE EMEA LIMITED,1.86,D,70,540,633,"2,345"
7332,PELHAM INCORPORATED LIMITED,0.18,D,14,31,30,77
7333,CODE 42 SOFTWARE UK LTD,534.89,D,13,155,685,685
7334,CRASH SERVICES MARKETING LIMITED,53.35,D,2,614,16,16
7335,CAMPBELLS LIMITED,135.14,D,106,-751,174,250
7336,IBEX MARINA ROPES LIMITED,0.82,C+,32,796,127,127
7337,EDWARD P WRIGHT (HOLDINGS) LIMITED,23.97,B+,73,"1,288","1,414","2,255"
7338,CITATION LIMITED,4.66,D,407,"7,389",797,"22,058"
7339,NORTHAMPTON RUGBY FOOTBALL CLUB LIMITED,69.02,D,278,"-2,712","17,256","23,759"
7340,ROOF-MAKER LTD,2.18,D,74,"-4,045",316,"25,092"
7341,DALE FARM ICE CREAM LIMITED,51.15,D,7,388,116,"2,375"
7342,T B F THOMPSON (GARVAGH) LIMITED,195.79,D,169,"2,080","6,324","6,324"
7343,BRIAN CURRIE (MILTON KEYNES) LIMITED,99.59,D,150,565,"3,399","3,559"
7344,KCI MEDICAL LIMITED,18.51,D,47,408,765,"3,401"
7345,W.H.BOWKER LIMITED,280.83,B+,704,"-1,274","28,235","28,862"
7346,KELLOGG BROWN & ROOT HOLDINGS LIMITED,42.85,D,"2,538","35,198","59,089","327,759"
7347,MCMANUS PUB GROUP LIMITED,82.36,D,231,855,"13,473","13,473"
7348,BAMBOO DISTRIBUTION LIMITED,4.17,D,97,"3,374",485,485
7349,LOGMEIN IRELAND UNLIMITED COMPANY,3.83,C,158,"28,067","5,173","175,614"
7350,R. A. KEE & SONS LIMITED,3.36,D,73,404,"1,875","1,941"
7351,TOR CURRENCY EXCHANGE LIMITED,5.34,D,88,"9,023",386,858
7352,GALAVAN SUPPLEMENTS LIMITED,36.51,B+,5,89,"1,059","1,223"
7353,PRESMAN (BULLION) LIMITED,0.01,B+,7,"1,004",71,71
7354,APPLICABLE LIMITED,262.21,D,105,-207,"1,195","1,195"
7355,NEW CONVEYOR LIMITED,1.67,D,180,"2,733","3,472","8,188"
7356,COMPRESSORS & AIR EQUIPMENT LTD,1.97,D,2,157,846,"1,169"
7357,CARMEL (UK) LIMITED,0.75,D,111,772,167,167
7358,AQUILA INSIGHT LTD,0.48,D,86,"1,020",532,532
7359,GP & J BAKER LIMITED,11.69,D,81,665,213,213
7360,"COSTAIN OIL, GAS & PROCESS LIMITED",7.76,D,191,"2,214",198,742
7361,AERSALE AVIATION LIMITED,15.05,D,6,"4,680","29,093","29,093"
7362,SCA GROUP LIMITED,151.57,D,164,232,"4,173","4,214"
7363,JAMES COLES & SONS (NURSERIES) LIMITED,4.06,B+,103,325,"3,439","3,439"
7364,REEL CINEMAS (EUROPE) LIMITED,8.64,A+,177,"1,039","6,068","6,430"
7365,APPOSITE CAPITAL LLP,236.04,D,9,411,6,6
7366,AIS GROUP COMPANIES LIMITED,0.68,D,45,"1,895",119,303
7367,LOVELL STONE GROUP HOLDINGS LIMITED,8.57,B+,56,544,"3,488","5,378"
7368,IWG PLC,165.14,U,"9,615","138,700","1,751,200","2,602,000"
7369,IONIX SYSTEMS LIMITED,5.66,C,57,"5,304",98,98
7370,FANATICS UK HOLDINGS LIMITED,149.35,D,"1,024","-21,905","12,956","16,955"
7371,NORTHERN ENERGY SUPPLIES LIMITED,58.23,D,41,520,"2,354","2,389"
7372,SKYLANE HOTEL LIMITED,6.23,D,71,-427,"6,662","6,662"
7373,GENSMILE LIMITED,368.14,C+,144,-478,"2,597","19,423"
7374,A.J.N. STEELSTOCK LTD.,103.44,B+,344,"4,640","16,274","16,274"
7375,SCOTWELD GROUP SERVICES LIMITED,0.49,D,119,21,"1,127","1,127"
7376,ROTOMETRICS INTERNATIONAL LIMITED,52.24,D,213,"-1,748","4,479","4,479"
7377,RAVENINGHAM HOLDINGS LIMITED,0.76,D,125,"1,165",110,111
7378,WELOCALIZE UK LTD,7.15,D,52,400,58,"4,970"
7379,THE AUTOMATED TECHNOLOGY GROUP LIMITED,17.32,D,239,"2,382",724,724
7380,BOLTON PLASTIC COMPONENTS LIMITED,5.16,D,187,579,"1,920","1,920"
7381,ASSOCIATED INDEPENDENT STORES LIMITED,27.79,U,155,"1,074","11,110","16,310"
7382,RAINBOW COSMETICS (HOLDINGS) LIMITED,63.9,B+,53,607,213,213
7383,TASK SYSTEMS LIMITED,3.21,B+,54,530,126,126
7384,PYRAMID POSTERS LIMITED,15.91,D,146,120,299,966
7385,AIRBAGS INTERNATIONAL LIMITED,13.69,D,227,"1,748","17,616","17,616"
7386,AXIS ELECTRONICS LIMITED,2.06,D,177,"3,398","1,010","1,031"
7387,STOLLE EUROPE LIMITED,0.04,D,58,"-1,115",740,740
7388,M.B. CROCKER LIMITED,129.88,D,41,908,"9,170","11,839"
7389,WINDMILL HEALTHCARE LIMITED,4.03,D,90,556,83,83
7390,METRASENS LIMITED,9.01,A+,66,-401,262,823
7391,MVCI EUROPE LIMITED,0.36,C,20,"21,444",81,"47,384"
7392,TIMAC AGRO IRELAND LIMITED,39.39,D,9,"7,298",5,"12,824"
7393,KEITH MOTORS (CHRISTCHURCH) LIMITED,46.01,D,81,434,161,162
7394,CHI YIP HOLDINGS LIMITED,2.08,D,64,203,"3,113","5,688"
7395,MBH CORPORATION PLC,19.57,D,130,"1,418",246,"32,745"
7396,EMPLOYMENT SOLUTIONS LIMITED,9.3,D,71,398,241,286
7397,SEWELL CONSTRUCTION LIMITED,232.91,D,91,133,35,35
7398,BIDOO LTD,29.75,D,12,476,4,264
7399,VIFOR PHARMA UK LIMITED,0.01,D,94,939,82,"5,282"
7400,KIRKWOOD HOMES LIMITED,1.31,D,106,"-4,137","3,983","4,213"
7401,DC STUDIO LIMITED,19.71,D,88,218,917,"1,925"
7402,DMG ENGINEERING LIMITED,3.62,D,70,"2,235",743,933
7403,COMPONENT COATING AND REPAIR SERVICES LIMITED,0.36,D,98,"1,365",754,"4,683"
7404,JOHN REID & SONS (STRUCSTEEL) HOLDINGS LIMITED,20.55,D,122,-542,"6,538","7,631"
7405,AGILICO WORKPLACE TECHNOLOGIES (NORTH) LIMITED,88.53,C,78,"1,976","1,185","1,185"
7406,CALREC AUDIO LIMITED,2.95,D,125,"6,209",475,"2,461"
7407,CATALENT U.K. PACKAGING LIMITED,10.59,D,249,"8,739","4,430","4,430"
7408,RESOURCE CONSULTING LIMITED,27.44,D,5,206,21,21
7409,SIGNATURE RAIL LIMITED,0.46,D,30,"1,145",128,168
7410,HIDER GROUP HOLDINGS LIMITED,733.13,D,100,129,"2,932","3,005"
7411,DESIGNER GROUP ENGINEERING CONTRACTORS HOLDINGS DESIGNATED ACTIVITY COMPANY,6.18,D,564,"4,536","5,274","8,265"
7412,WATERWORLD LEISURE GROUP LIMITED,26.14,D,115,998,"21,678","24,218"
7413,ADLINGTON WELDING SUPPLIES LIMITED,34.75,D,70,994,"7,150","7,150"
7414,ELECTRO-MOTIVE DIESEL LIMITED,121.43,D,171,"1,888","3,378","3,378"
7415,TASIS THE AMERICAN SCHOOL IN ENGLAND LIMITED,3.28,D,223,-156,"3,239","3,239"
7416,NEONICKEL LIMITED,3.72,D,16,979,141,141
7417,VETSPEED LIMITED,60.78,D,109,70,"3,050","3,362"
7418,ALTHEA UK AND IRELAND LIMITED,196.18,D,229,"6,872","19,784","41,234"
7419,LUKKA CARE HOMES LIMITED,32.96,A+,88,835,"7,512","8,678"
7420,CDE GLOBAL LIMITED,39.71,D,307,"5,074","17,164","19,398"
7421,THE DRAGON COMMANDERS LIMITED,4.02,D,11,"8,339",10,10
7422,TIGER TRAILERS LIMITED,208.26,B+,179,-793,"2,883","5,413"
7423,N.R.L. GROUP LIMITED,105.59,D,113,"3,372",527,766
7424,ITEC CONNECT LTD,17.47,D,202,339,"2,280","6,689"
7425,FLANNERY'S MOTOR INNS DESIGNATED ACTIVITY COMPANY,65.56,D,77,"2,132","2,856","3,712"
7426,TENNAY PROPERTIES LIMITED,15.86,D,11,"1,126",196,"14,864"
7427,LEMACA LIMITED,494.15,D,"1,430",294,"9,550","13,225"
7428,ORCHARD & SHIPMAN GROUP LIMITED,159.47,D,51,88,"1,014","1,028"
7429,POLLEN STREET CAPITAL LIMITED,124.58,D,7,-638,152,152
7430,KUFLINK GROUP PLC,94.86,A+,39,-795,285,"7,905"
7431,TOMTOM SOFTWARE LIMITED,0.06,D,45,790,283,283
7432,AMCOR FLEXIBLES UK LIMITED,239.9,D,510,"11,410","23,394","49,461"
7433,MEA UK LIMITED,105.63,D,7,-30,2,33
7434,HARBOUR INTERNATIONAL LIMITED,271.02,D,"1,227","1,550","363,910","369,697"
7435,LAVINIA BULK LIMITED,0.22,D,6,364,6,6
7436,FREED OF LONDON LIMITED,84.52,D,229,"-1,753",562,586
7437,BUREAUCOM LIMITED,4.01,D,28,347,"2,002","2,002"
7438,TGC (2015) LIMITED,57.32,D,154,706,"7,698","7,698"
7439,PRET A MANGER (HONG KONG) LIMITED,n.a.,D,n.a.,n.a.,n.a.,n.a.
7440,"PYE MOTORS,LIMITED",366.79,B+,129,818,"5,447","5,660"
7441,SUPPORT IN SPORT (UK) LIMITED,44.17,D,68,"1,050",311,311
7442,KOBAYASHI HEALTHCARE EUROPE LIMITED,14.89,D,7,242,11,11
7443,STEPNELL HOLDINGS LIMITED,19.22,A+,436,"10,728","6,468","37,659"
7444,W.& H.MARRIAGE & SONS LIMITED,34.27,B+,166,"1,159","1,708","1,981"
7445,HOLDCROFT RENAULT LIMITED,72,D,129,370,540,540
7446,ECO MODULAR BUILDINGS LTD,177.19,C,67,631,721,740
7447,NORISH PUBLIC LIMITED COMPANY,55.78,A+,175,"2,016","23,679","26,202"
7448,PONSSE UK LIMITED,319.26,D,31,536,"3,312","3,312"
7449,PURFLEET COMMERCIALS LIMITED,0.97,D,108,727,567,567
7450,IDEC TECHNICAL SERVICES LIMITED,13.75,D,98,990,359,359
7451,CGL DRYLINING LIMITED,5.08,D,10,"1,020",81,81
7452,FOGARTY GROUP LIMITED,33.42,U,380,"5,687","18,042","21,942"
7453,PACIFIC CARE LIMITED,63.69,B+,364,"1,911","10,801","12,450"
7454,GEAR PUMP DISTRIBUTORS (UK) LIMITED,9.31,D,7,263,5,5
7455,ALPHATHETA EMEA LIMITED,272.92,D,70,"2,730",943,"16,833"
7456,LHW FINANCIAL PLANNING LIMITED,0.8,D,9,182,14,96
7457,MANFREIGHT LIMITED,289.31,D,140,389,"5,385","5,687"
7458,WESTERN BRAND POULTRY PRODUCTS LIMITED,329.95,D,760,"10,650","31,305","31,381"
7459,M AND C CONSULTANCY LIMITED,2.62,D,7,457,12,12
7460,TURLEY ASSOCIATES LTD,21.5,D,219,804,"1,047","1,047"
7461,TRAFALGAR ENTERTAINMENT GROUP LIMITED,12.15,B+,140,"-5,025","10,573","34,373"
7462,TIBCO SOFTWARE (IRELAND) LIMITED,175.13,C,62,"6,111",535,"84,328"
7463,OPUS PEOPLE SOLUTIONS GROUP LIMITED,0.27,D,15,332,31,31
7464,PLEXUS CORP (UK) LIMITED,729.74,D,574,"58,436","4,731","8,887"
7465,M.H.J. LIMITED,92.92,B+,166,"1,255","8,469","9,084"
7466,MILCARDAR LIMITED,2.98,D,137,"1,348","7,251","7,251"
7467,WORKFORCE STAFFING LTD,604.88,D,591,-719,141,878
7468,CVC ADVISERS LIMITED,6.15,D,133,"5,199","4,183","4,183"
7469,SOVEREIGN GROUP LIMITED,13.1,D,161,101,633,633
7470,PARK TOWER INVESTMENTS LIMITED,107.31,D,199,"5,899","335,849","335,849"
7471,BDS (YORKSHIRE) LIMITED,295.37,D,56,97,667,667
7472,REIGNWOOD INVESTMENTS UK LIMITED,142.23,D,26,"-1,360","1,327","1,327"
7473,LW SURPHLIS & SON LTD,105.84,B+,71,54,"2,066","2,066"
7474,WHS PLASTICS LIMITED,46.44,D,702,"6,016","15,118","15,608"
7475,TJX IRELAND UNLIMITED COMPANY,20.32,D,"1,335","12,206","24,887","24,887"
7476,APATECH LIMITED,3.46,D,62,"6,091","2,362","2,370"
7477,TOUR PARTNER GROUP UK LTD,40.33,D,84,"5,179",509,"4,309"
7478,CQK LIMITED,38.64,D,175,322,"11,340","15,851"
7479,VICTORIA MIRO GALLERY LIMITED,21.33,D,41,"1,127",628,858
7480,CRAY U.K. LIMITED,137.87,D,61,"1,098",136,425
7481,LANSON NEXT UK LIMITED,434.51,D,1,30,0,0
7482,MIROMA SET LIMITED,56.81,A+,207,-161,"1,956","10,853"
7483,POTTERGATE NORWICH LIMITED,262,B+,3,"1,574","4,895","4,895"
7484,OXFORD INSTRUMENTS INDUSTRIAL PRODUCTS LIMITED,91.45,D,42,"-4,727",88,"1,124"
7485,DATATEAM BUSINESS MEDIA LIMITED,51.96,D,108,670,"2,239","6,075"
7486,SLIP END GARAGES LIMITED,51.28,U,31,215,182,250
7487,VITAL ENERGI SOLUTIONS LIMITED,96.17,D,16,975,"1,312","1,354"
7488,BRIDGEBANK HOLDINGS LIMITED,75.25,D,40,"2,982","5,800","5,800"
7489,TANDOM METALLURGICAL (MIDLANDS) LIMITED,5.49,D,15,"1,241",563,563
7490,X2X LIMITED,86.07,D,32,-519,318,318
7491,TARANTO LIMITED,20.11,D,121,405,267,823
7492,BRODIE COUNTRYFARE LIMITED,32.9,D,119,234,"3,263","3,263"
7493,ORMSBY STREET LIMITED,27.59,D,1,464,3,36
7494,MEDIAWORKS UK LIMITED,1.86,D,68,555,107,107
